Player,Position,Age,Matches Played,Matches Started,Minutes,90s,Goals,Assists,Goals and Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals and Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Season
Nigel de Jong,Midfielders,27,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-2013
Karim Rekik,Defenders,17,1,1,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-2013
Abdul Razak,Midfielders,19,3,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-2013
Joe Hart,Goalkeepers,24,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-2012
David Silva,"Forwards, Midfielders",25,36,33,2800.0,31.1,6.0,15.0,21.0,6.0,0.0,0.0,0.0,0.0,0.19,0.48,0.68,0.19,0.68,2011-2012
Vincent Kompany,Defenders,25,31,31,2774.0,30.8,3.0,1.0,4.0,3.0,0.0,0.0,5.0,1.0,0.1,0.03,0.13,0.1,0.13,2011-2012
Gareth Barry,Midfielders,30,34,31,2734.0,30.4,1.0,3.0,4.0,1.0,0.0,0.0,10.0,1.0,0.03,0.1,0.13,0.03,0.13,2011-2012
Yaya Touré,Midfielders,28,32,31,2643.0,29.4,6.0,6.0,12.0,6.0,0.0,0.0,8.0,0.0,0.2,0.2,0.41,0.2,0.41,2011-2012
Sergio Agüero,Forwards,23,34,31,2575.0,28.6,23.0,8.0,31.0,20.0,3.0,3.0,2.0,0.0,0.8,0.28,1.08,0.7,0.98,2011-2012
Joleon Lescott,Defenders,28,31,30,2686.0,29.8,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.07,0.03,0.1,0.07,0.1,2011-2012
Gaël Clichy,Defenders,26,28,28,2487.0,27.6,0.0,4.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.14,0.14,0.0,0.14,2011-2012
Samir Nasri,"Forwards, Midfielders",24,30,26,2159.0,24.0,5.0,9.0,14.0,5.0,0.0,0.0,2.0,0.0,0.21,0.38,0.58,0.21,0.58,2011-2012
Micah Richards,Defenders,23,29,23,2044.0,22.7,1.0,5.0,6.0,1.0,0.0,0.0,2.0,0.0,0.04,0.22,0.26,0.04,0.26,2011-2012
Pablo Zabaleta,"Defenders, Midfielders",26,21,18,1549.0,17.2,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.06,0.0,0.06,0.06,0.06,2011-2012
James Milner,"Defenders, Midfielders",25,26,17,1586.0,17.6,3.0,5.0,8.0,2.0,1.0,1.0,3.0,0.0,0.17,0.28,0.45,0.11,0.4,2011-2012
Edin Džeko,Forwards,25,30,16,1509.0,16.8,14.0,3.0,17.0,14.0,0.0,0.0,1.0,0.0,0.83,0.18,1.01,0.83,1.01,2011-2012
Mario Balotelli,Forwards,20,23,14,1328.0,14.8,13.0,1.0,14.0,10.0,3.0,3.0,6.0,2.0,0.88,0.07,0.95,0.68,0.75,2011-2012
Nigel de Jong,Midfielders,26,21,11,1077.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-2012
Adam Johnson,Midfielders,24,26,10,1147.0,12.7,6.0,2.0,8.0,6.0,0.0,0.0,1.0,0.0,0.47,0.16,0.63,0.47,0.63,2011-2012
Aleksandar Kolarov,Defenders,25,12,9,823.0,9.1,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,0.22,0.44,0.66,0.22,0.66,2011-2012
Kolo Touré,Defenders,30,14,8,853.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-2012
Carlos Tevez,"Forwards, Midfielders",27,13,7,601.0,6.7,4.0,3.0,7.0,4.0,0.0,1.0,1.0,0.0,0.6,0.45,1.05,0.6,1.05,2011-2012
Stefan Savić,"Defenders, Midfielders",20,11,5,550.0,6.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,0.0,0.16,0.16,0.16,2011-2012
David Pizarro,Midfielders,31,5,1,165.0,1.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0,0.55,2011-2012
Owen Hargreaves,Midfielders,30,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-2012
Abdul Razak,Midfielders,18,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-2012
Nedum Onuoha,Defenders,24,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-2012
Joe Hart,Goalkeepers,23,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-2011
Vincent Kompany,Defenders,24,37,37,3330.0,37.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.03,0.03,0.0,0.03,2010-2011
Yaya Touré,Midfielders,27,35,35,2965.0,32.9,6.0,4.0,10.0,6.0,0.0,0.0,3.0,0.0,0.18,0.12,0.3,0.18,0.3,2010-2011
Gareth Barry,Midfielders,29,33,31,2702.0,30.0,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,0.07,0.07,0.13,0.07,0.13,2010-2011
Nigel de Jong,Midfielders,25,32,30,2610.0,29.0,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,0.03,0.03,0.07,0.03,0.07,2010-2011
David Silva,"Forwards, Midfielders",24,35,30,2550.0,28.3,4.0,7.0,11.0,4.0,0.0,0.0,2.0,0.0,0.14,0.25,0.39,0.14,0.39,2010-2011
Carlos Tevez,"Forwards, Midfielders",26,31,30,2511.0,27.9,20.0,6.0,26.0,15.0,5.0,6.0,6.0,0.0,0.72,0.22,0.93,0.54,0.75,2010-2011
James Milner,"Defenders, Midfielders",24,32,23,2050.0,22.8,0.0,6.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.26,0.26,0.0,0.26,2010-2011
Pablo Zabaleta,"Defenders, Midfielders",25,26,21,1948.0,21.6,2.0,2.0,4.0,2.0,0.0,0.0,8.0,1.0,0.09,0.09,0.18,0.09,0.18,2010-2011
Kolo Touré,Defenders,29,22,21,1845.0,20.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.05,0.0,0.05,0.05,0.05,2010-2011
Joleon Lescott,Defenders,27,22,20,1884.0,20.9,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.14,0.05,0.19,0.14,0.19,2010-2011
Aleksandar Kolarov,Defenders,24,24,20,1719.0,19.1,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.05,0.0,0.05,0.05,0.05,2010-2011
Micah Richards,Defenders,22,18,16,1399.0,15.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.06,0.06,0.13,0.06,0.13,2010-2011
Adam Johnson,Midfielders,23,31,15,1542.0,17.1,4.0,5.0,9.0,4.0,0.0,0.0,2.0,0.0,0.23,0.29,0.53,0.23,0.53,2010-2011
Jérôme Boateng,Defenders,21,16,14,1238.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-2011
Mario Balotelli,Forwards,19,17,12,1091.0,12.1,6.0,0.0,6.0,4.0,2.0,2.0,6.0,1.0,0.49,0.0,0.49,0.33,0.33,2010-2011
Edin Džeko,Forwards,24,15,8,854.0,9.5,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.21,0.21,0.42,0.21,0.42,2010-2011
Dedryck Boyata,Defenders,19,7,5,345.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2010-2011
Patrick Vieira,Midfielders,34,15,4,495.0,5.5,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.36,0.0,0.36,0.36,0.36,2010-2011
Jô,Forwards,23,12,3,348.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-2011
Emmanuel Adebayor,Forwards,26,8,2,244.0,2.7,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.37,0.0,0.37,0.0,0.0,2010-2011
Shaun Wright-Phillips,"Forwards, Midfielders",28,7,2,205.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-2011
Wayne Bridge,Defenders,29,3,1,149.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-2011
Roque Santa Cruz,Forwards,28,1,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-2011
Ryan McGivern,Defenders,20,1,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-2011
Reece Wabara,Defenders,18,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-2011
Abdul Razak,Midfielders,17,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-2011
Shay Given,Goalkeepers,33,35,35,3132.0,34.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-2010
Gareth Barry,Midfielders,28,34,34,2994.0,33.3,2.0,7.0,9.0,2.0,0.0,0.0,4.0,0.0,0.06,0.21,0.27,0.06,0.27,2009-2010
Carlos Tevez,"Forwards, Midfielders",25,35,32,2861.0,31.8,23.0,7.0,30.0,18.0,5.0,5.0,6.0,0.0,0.72,0.22,0.94,0.57,0.79,2009-2010
Kolo Touré,Defenders,28,31,31,2708.0,30.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.03,0.0,0.03,0.03,0.03,2009-2010
Nigel de Jong,Midfielders,24,34,30,2627.0,29.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-2010
Craig Bellamy,Forwards,30,32,26,2379.0,26.4,10.0,8.0,18.0,10.0,0.0,0.0,5.0,1.0,0.38,0.3,0.68,0.38,0.68,2009-2010
Emmanuel Adebayor,Forwards,25,26,25,2207.0,24.5,14.0,3.0,17.0,14.0,0.0,0.0,1.0,0.0,0.57,0.12,0.69,0.57,0.69,2009-2010
Pablo Zabaleta,"Defenders, Midfielders",24,27,23,2102.0,23.4,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.04,0.04,0.0,0.04,2009-2010
Wayne Bridge,Defenders,28,23,23,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-2010
Vincent Kompany,Defenders,23,25,21,1915.0,21.3,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.09,0.05,0.14,0.09,0.14,2009-2010
Shaun Wright-Phillips,"Forwards, Midfielders",27,30,19,1752.0,19.5,4.0,7.0,11.0,4.0,0.0,0.0,2.0,0.0,0.21,0.36,0.57,0.21,0.57,2009-2010
Micah Richards,Defenders,21,23,19,1645.0,18.3,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.16,0.05,0.22,0.16,0.22,2009-2010
Joleon Lescott,Defenders,26,18,17,1566.0,17.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.06,0.06,0.11,0.06,0.11,2009-2010
Stephen Ireland,Midfielders,22,22,16,1453.0,16.1,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.12,0.12,0.25,0.12,0.25,2009-2010
Adam Johnson,Midfielders,22,16,14,1168.0,13.0,1.0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,0.08,0.39,0.46,0.08,0.46,2009-2010
Patrick Vieira,Midfielders,33,13,8,815.0,9.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.11,0.11,0.22,0.11,0.22,2009-2010
Martin Petrov,"Forwards, Midfielders",30,16,8,727.0,8.1,4.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,0.5,0.37,0.87,0.5,0.87,2009-2010
Javier Garrido,Defenders,24,9,7,633.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,0.14,0.14,2009-2010
Roque Santa Cruz,Forwards,27,19,6,649.0,7.2,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.42,0.0,0.42,0.42,0.42,2009-2010
Robinho,"Forwards, Midfielders",25,10,6,538.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,2009-2010
Sylvinho,Defenders,35,10,6,485.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-2010
Nedum Onuoha,Defenders,22,10,5,575.0,6.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.16,0.16,0.31,0.16,0.31,2009-2010
Márton Fülöp,Goalkeepers,26,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-2010
Richard Dunne,Defenders,29,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-2010
Dedryck Boyata,Defenders,18,3,1,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-2010
Benjani,Forwards,30,2,1,125.0,1.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,0.72,2009-2010
Gunnar Nielsen,Goalkeepers,22,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-2010
Abdisalam Ibrahim,"Defenders, Midfielders",18,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-2010
Alex Nimely,Forwards,18,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-2010
Greg Cunningham,"Defenders, Midfielders",18,2,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-2010
Michael Johnson,Midfielders,21,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-2010
Stephen Ireland,Midfielders,21,35,34,3030.0,33.7,9.0,9.0,18.0,9.0,0.0,0.0,8.0,0.0,0.27,0.27,0.53,0.27,0.53,2008-2009
Vincent Kompany,Defenders,22,34,34,2990.0,33.2,1.0,2.0,3.0,1.0,0.0,0.0,8.0,0.0,0.03,0.06,0.09,0.03,0.09,2008-2009
Micah Richards,Defenders,20,34,33,2704.0,30.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.03,0.03,0.07,0.03,0.07,2008-2009
Richard Dunne,Defenders,28,31,31,2732.0,30.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.03,0.0,0.03,0.03,0.03,2008-2009
Robinho,"Forwards, Midfielders",24,31,30,2623.0,29.1,14.0,5.0,19.0,13.0,1.0,2.0,3.0,0.0,0.48,0.17,0.65,0.45,0.62,2008-2009
Shaun Wright-Phillips,"Forwards, Midfielders",26,27,27,2423.0,26.9,5.0,3.0,8.0,5.0,0.0,0.0,3.0,0.0,0.19,0.11,0.3,0.19,0.3,2008-2009
Pablo Zabaleta,"Defenders, Midfielders",23,29,26,2373.0,26.4,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,0.04,0.08,0.11,0.04,0.11,2008-2009
Joe Hart,Goalkeepers,21,23,23,1998.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-2009
Elano,Midfielders,27,28,21,1868.0,20.8,6.0,3.0,9.0,2.0,4.0,4.0,3.0,0.0,0.29,0.14,0.43,0.1,0.24,2008-2009
Nedum Onuoha,Defenders,21,23,20,1872.0,20.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.05,0.05,0.1,0.05,0.1,2008-2009
Wayne Bridge,Defenders,27,16,16,1359.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-2009
Nigel de Jong,Midfielders,23,16,16,1344.0,14.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.07,0.07,0.0,0.07,2008-2009
Shay Given,Goalkeepers,32,15,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-2009
Javier Garrido,Defenders,23,13,11,998.0,11.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.09,0.09,0.18,0.09,0.18,2008-2009
Felipe Caicedo,"Forwards, Midfielders",19,17,10,819.0,9.1,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.44,0.0,0.44,0.44,0.44,2008-2009
Tal Ben Haim,Defenders,26,9,8,765.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-2009
Michael Ball,Defenders,28,8,8,713.0,7.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,2008-2009
Craig Bellamy,Forwards,29,8,7,631.0,7.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.29,0.0,0.29,0.29,0.29,2008-2009
Benjani,Forwards,29,8,7,550.0,6.1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.16,0.16,0.33,0.16,0.33,2008-2009
Jô,Forwards,21,9,6,587.0,6.5,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.15,0.31,0.46,0.15,0.46,2008-2009
Darius Vassell,"Forwards, Midfielders",28,8,6,446.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-2009
Dietmar Hamann,Midfielders,34,9,5,476.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-2009
Martin Petrov,"Forwards, Midfielders",29,9,4,339.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-2009
